index, pos_x, pos_y, pos_z, size_x, size_y, size_z
0,163.1774,3.0,-349.971,4.0,0.03,3.2
1,58.6621,3.0,252.5937,4.0,0.03,3.2
2,311.2193,3.0,-171.8179,4.0,0.03,3.2
3,376.3316,3.0,140.4898,4.0,0.03,3.2
4,5.2589,3.0,506.7968,4.0,0.03,3.2
5,-61.0413,3.0,265.1715,4.0,0.03,3.2
6,-600.1236,3.0,-80.1967,4.0,0.03,3.2
7,495.0944,3.0,-58.4303,4.0,0.03,3.2
8,145.2169,3.0,411.1458,4.0,0.03,3.2
9,-233.0604,3.0,-607.0132,4.0,0.03,3.2
10,-343.0544,3.0,-278.0558,4.0,0.03,3.2
11,27.3829,3.0,506.3963,4.0,0.03,3.2
12,-375.3408,3.0,-283.3029,4.0,0.03,3.2
13,-311.3349,3.0,233.5882,4.0,0.03,3.2
14,-389.8274,3.0,-315.021,4.0,0.03,3.2
15,61.1021,3.0,503.9229,4.0,0.03,3.2
16,-334.4923,3.0,145.5007,4.0,0.03,3.2
17,-236.9643,3.0,462.8188,4.0,0.03,3.2
18,-163.4752,3.0,-588.32,4.0,0.03,3.2
19,86.6357,3.0,-172.4955,4.0,0.03,3.2
20,584.5727,3.0,204.5917,4.0,0.03,3.2
21,-419.5869,3.0,-133.6107,4.0,0.03,3.2
22,44.2636,3.0,505.4403,4.0,0.03,3.2
23,-363.5083,3.0,392.3009,4.0,0.03,3.2
24,45.0262,3.0,-631.5615,4.0,0.03,3.2
25,-73.5375,3.0,-184.7532,4.0,0.03,3.2
26,272.5729,3.0,-359.915,4.0,0.03,3.2
27,-458.2623,3.0,-337.5107,4.0,0.03,3.2
28,-201.6128,3.0,177.1499,4.0,0.03,3.2
29,604.6291,3.0,135.2546,4.0,0.03,3.2
30,-210.4862,3.0,152.5702,4.0,0.03,3.2
31,328.7038,3.0,-433.5034,4.0,0.03,3.2
32,188.4377,3.0,-56.7801,4.0,0.03,3.2
33,186.2839,3.0,43.4386,4.0,0.03,3.2
34,-518.9986,3.0,-231.7044,4.0,0.03,3.2
35,-11.647,3.0,506.4499,4.0,0.03,3.2
36,-157.0145,3.0,178.8107,4.0,0.03,3.2
37,-9.5242,3.0,141.3643,4.0,0.03,3.2
38,223.5152,3.0,73.9958,4.0,0.03,3.2
39,148.0734,3.0,-503.9369,4.0,0.03,3.2
40,444.2947,3.0,256.47,4.0,0.03,3.2
41,-155.5553,3.0,97.9569,4.0,0.03,3.2
42,380.4025,3.0,163.8373,4.0,0.03,3.2
43,-339.2604,3.0,44.1366,4.0,0.03,3.2
44,-138.2636,3.0,438.0805,4.0,0.03,3.2
45,-464.036,3.0,-263.1872,4.0,0.03,3.2
46,-527.9077,3.0,-70.6799,4.0,0.03,3.2
47,-489.7379,3.0,99.6414,4.0,0.03,3.2
48,75.0308,3.0,-265.2649,4.0,0.03,3.2
49,-252.3609,3.0,-330.493,4.0,0.03,3.2
50,484.9537,3.0,286.958,4.0,0.03,3.2
51,143.9095,3.0,310.0534,4.0,0.03,3.2
52,77.88,3.0,501.8442,4.0,0.03,3.2
53,70.4374,3.0,185.2607,4.0,0.03,3.2
54,506.7448,3.0,-85.3327,4.0,0.03,3.2
55,-466.1041,3.0,-326.4233,4.0,0.03,3.2
56,658.9172,3.0,37.5719,4.0,0.03,3.2
57,459.7614,3.0,294.0635,4.0,0.03,3.2
58,-99.7464,3.0,125.6495,4.0,0.03,3.2
59,514.7594,3.0,-230.1641,4.0,0.03,3.2
60,-208.5737,3.0,376.2304,4.0,0.03,3.2
61,-171.5789,3.0,240.9089,4.0,0.03,3.2
62,-538.5149,3.0,-181.024,4.0,0.03,3.2
63,442.9697,3.0,-258.7153,4.0,0.03,3.2
64,149.8226,3.0,-187.6256,4.0,0.03,3.2
65,324.9967,3.0,415.6869,4.0,0.03,3.2
66,-102.488,3.0,309.6564,4.0,0.03,3.2
67,6.0562,3.0,394.977,4.0,0.03,3.2
68,197.4387,3.0,46.2164,4.0,0.03,3.2
69,-423.0249,3.0,325.9367,4.0,0.03,3.2
70,-24.1485,3.0,446.0846,4.0,0.03,3.2
71,-78.8811,3.0,499.4404,4.0,0.03,3.2
72,-181.398,3.0,293.9395,4.0,0.03,3.2
73,307.2734,3.0,389.1235,4.0,0.03,3.2
74,-335.0592,3.0,287.8391,4.0,0.03,3.2
75,-441.0142,3.0,331.2744,4.0,0.03,3.2
76,252.3616,3.0,462.2652,4.0,0.03,3.2
77,379.4323,3.0,-367.7386,4.0,0.03,3.2
78,-256.7681,3.0,344.139,4.0,0.03,3.2
79,103.8247,3.0,-207.1917,4.0,0.03,3.2
80,-59.9127,3.0,-571.0001,4.0,0.03,3.2
81,527.3909,3.0,143.8163,4.0,0.03,3.2
82,563.8507,3.0,-27.0297,4.0,0.03,3.2
83,534.1785,3.0,-181.3452,4.0,0.03,3.2
84,-50.0473,3.0,416.3029,4.0,0.03,3.2
85,-38.1865,3.0,-555.478,4.0,0.03,3.2
86,223.4915,3.0,360.2659,4.0,0.03,3.2
87,-416.4333,3.0,362.1766,4.0,0.03,3.2
88,69.7427,3.0,442.7842,4.0,0.03,3.2
89,446.9488,3.0,-342.368,4.0,0.03,3.2
90,-521.9021,3.0,269.478,4.0,0.03,3.2
91,1.7095,3.0,-184.1773,4.0,0.03,3.2
92,-171.6708,3.0,44.5044,4.0,0.03,3.2
93,-44.6303,3.0,268.8596,4.0,0.03,3.2
94,-380.772,3.0,326.1077,4.0,0.03,3.2
95,42.0041,3.0,381.5784,4.0,0.03,3.2
96,-494.9342,3.0,-68.8283,4.0,0.03,3.2
97,457.7372,3.0,-100.3288,4.0,0.03,3.2
98,-265.6144,3.0,23.764,4.0,0.03,3.2
99,177.818,3.0,-95.993,4.0,0.03,3.2
100,-177.3144,3.0,-584.1268,4.0,0.03,3.2
101,397.6754,3.0,-298.3066,4.0,0.03,3.2
102,-24.969,3.0,-271.9114,4.0,0.03,3.2
103,-541.1788,3.0,-273.0437,4.0,0.03,3.2
104,211.2337,3.0,397.912,4.0,0.03,3.2
105,278.2351,3.0,-270.8233,4.0,0.03,3.2
106,562.0299,3.0,-259.583,4.0,0.03,3.2
107,-73.0601,3.0,289.05,4.0,0.03,3.2
108,-492.3546,3.0,-85.5634,4.0,0.03,3.2
109,-235.519,3.0,6.1256,4.0,0.03,3.2
110,-208.772,3.0,424.1976,4.0,0.03,3.2
111,-340.1978,3.0,-36.0218,4.0,0.03,3.2
112,289.1282,3.0,365.4742,4.0,0.03,3.2
113,-515.388,3.0,281.8992,4.0,0.03,3.2
114,-113.4306,3.0,-339.5032,4.0,0.03,3.2
115,79.848,3.0,-608.2453,4.0,0.03,3.2
116,215.8686,3.0,-190.1811,4.0,0.03,3.2
117,589.2361,3.0,190.9208,4.0,0.03,3.2
118,9.5647,3.0,-178.5914,4.0,0.03,3.2
119,-433.0645,3.0,341.768,4.0,0.03,3.2
120,305.267,3.0,-390.6625,4.0,0.03,3.2
121,-28.5327,3.0,505.5412,4.0,0.03,3.2
122,595.1087,3.0,82.9107,4.0,0.03,3.2
123,157.7191,3.0,-483.925,4.0,0.03,3.2
124,434.7582,3.0,130.9605,4.0,0.03,3.2
125,-562.8356,3.0,-318.2245,4.0,0.03,3.2
126,90.3872,3.0,-204.3422,4.0,0.03,3.2
127,296.8923,3.0,-77.8435,4.0,0.03,3.2
128,-565.0935,3.0,218.5244,4.0,0.03,3.2
129,154.4516,3.0,230.8287,4.0,0.03,3.2
130,313.8624,3.0,-306.6622,4.0,0.03,3.2
131,-114.4155,3.0,264.2468,4.0,0.03,3.2
132,94.5785,3.0,499.2065,4.0,0.03,3.2
133,-212.5027,3.0,-119.9319,4.0,0.03,3.2
134,405.2963,3.0,364.426,4.0,0.03,3.2
135,116.068,3.0,479.1835,4.0,0.03,3.2
136,-147.2436,3.0,-350.6719,4.0,0.03,3.2
137,-386.9947,3.0,25.3839,4.0,0.03,3.2
138,166.0404,3.0,448.7074,4.0,0.03,3.2
139,156.5094,3.0,421.5124,4.0,0.03,3.2
140,283.4475,3.0,334.3229,4.0,0.03,3.2
141,342.7813,3.0,-358.9502,4.0,0.03,3.2
142,375.705,3.0,-253.3031,4.0,0.03,3.2
143,-409.9719,3.0,-287.8155,4.0,0.03,3.2
144,-148.7035,3.0,256.3029,4.0,0.03,3.2
145,631.4169,3.0,103.1068,4.0,0.03,3.2
146,503.3462,3.0,-253.8338,4.0,0.03,3.2
147,-611.4614,3.0,132.6447,4.0,0.03,3.2
148,115.7728,3.0,279.6338,4.0,0.03,3.2
149,245.9728,3.0,-543.6131,4.0,0.03,3.2
150,42.1006,3.0,474.7168,4.0,0.03,3.2
151,312.3216,3.0,191.5688,4.0,0.03,3.2
152,656.2329,3.0,-70.0348,4.0,0.03,3.2
153,-45.3794,3.0,504.0678,4.0,0.03,3.2
154,182.8362,3.0,426.8615,4.0,0.03,3.2
155,-1.7614,3.0,250.1075,4.0,0.03,3.2
156,352.8284,3.0,101.6766,4.0,0.03,3.2
157,296.5393,3.0,-29.7827,4.0,0.03,3.2
158,-451.8597,3.0,283.8913,4.0,0.03,3.2
159,463.4777,3.0,320.0077,4.0,0.03,3.2
160,-468.8285,3.0,-1.2277,4.0,0.03,3.2
161,482.2045,3.0,30.4717,4.0,0.03,3.2
162,-260.1417,3.0,-468.8783,4.0,0.03,3.2
163,194.8427,3.0,-506.0498,4.0,0.03,3.2
164,-488.8282,3.0,290.7341,4.0,0.03,3.2
165,-73.5908,3.0,-213.8813,4.0,0.03,3.2
166,235.7518,3.0,5.6875,4.0,0.03,3.2
167,-360.5471,3.0,279.0165,4.0,0.03,3.2
168,111.1789,3.0,496.014,4.0,0.03,3.2
169,578.9583,3.0,60.0985,4.0,0.03,3.2
170,235.9499,3.0,-452.2275,4.0,0.03,3.2
171,269.5776,3.0,230.451,4.0,0.03,3.2
172,529.8938,3.0,23.943,4.0,0.03,3.2
173,422.0331,3.0,345.2533,4.0,0.03,3.2
174,173.6754,3.0,385.8255,4.0,0.03,3.2
175,-248.0451,3.0,-401.7956,4.0,0.03,3.2
176,478.0555,3.0,298.1424,4.0,0.03,3.2
177,42.7333,3.0,-297.8639,4.0,0.03,3.2
178,-642.0615,3.0,68.3667,4.0,0.03,3.2
179,274.421,3.0,358.5447,4.0,0.03,3.2
180,510.1921,3.0,278.4247,4.0,0.03,3.2
181,450.5528,3.0,58.2646,4.0,0.03,3.2
182,-124.5241,3.0,323.4415,4.0,0.03,3.2
183,-339.487,3.0,-348.2838,4.0,0.03,3.2
184,238.5468,3.0,433.5235,4.0,0.03,3.2
185,-7.9613,3.0,-475.759,4.0,0.03,3.2
186,50.4888,3.0,368.8163,4.0,0.03,3.2
187,-262.9345,3.0,-271.7702,4.0,0.03,3.2
188,-276.2676,3.0,382.4103,4.0,0.03,3.2
189,-621.4752,3.0,-176.0126,4.0,0.03,3.2
190,506.2838,3.0,157.1613,4.0,0.03,3.2
191,-608.1582,3.0,147.2186,4.0,0.03,3.2
192,-497.2149,3.0,49.4158,4.0,0.03,3.2
193,-62.1685,3.0,502.034,4.0,0.03,3.2
194,-176.9701,3.0,147.1209,4.0,0.03,3.2
195,-509.4199,3.0,-365.29,4.0,0.03,3.2
196,-466.9976,3.0,325.1237,4.0,0.03,3.2
197,-513.6879,3.0,-50.1025,4.0,0.03,3.2
198,204.8145,3.0,-622.1872,4.0,0.03,3.2
199,-61.8926,3.0,-202.5831,4.0,0.03,3.2
200,127.6629,3.0,492.2698,4.0,0.03,3.2
201,155.7513,3.0,-282.0539,4.0,0.03,3.2
202,530.6364,3.0,131.5143,4.0,0.03,3.2
203,-346.2455,3.0,70.0583,4.0,0.03,3.2
204,-409.679,3.0,-229.8089,4.0,0.03,3.2
205,-344.3272,3.0,-365.0955,4.0,0.03,3.2
